0,name,company,year,Price,kms_driven,fuel_type
194,Suzuki Wagon,Suzuki,2009,675000,45000,Petrol
195,Suzuki Alto,Suzuki,2013,625000,39000,Petrol
196,Suzuki Wagon,Suzuki,2009,675000,45000,Petrol
197,Suzuki Swift,Suzuki,2006,675000,45000,Petrol
198,Suzuki Wagon,Suzuki,2009,675000,45000,Petrol
199,Suzuki Wagon,Suzuki,2010,725000,54870,Petrol
200,Suzuki Alto,Suzuki,2010,675000,34580,Petrol
201,Volkswagen Passat Diesel,Volkswagen,2009,2250000,97000,Diesel
202,Renault Scala RxL,Renault,2015,1875000,25000,Diesel
203,Hyundai i20 Active,Hyundai,2016,2600000,18000,Petrol
204,Hyundai Grand i10,Hyundai,2014,1825000,20000,Petrol
205,Hyundai i20 Active,Hyundai,2015,2500000,18000,Petrol
206,Force Motors Force,Force,2015,2900000,3200,Diesel
207,Suzuki SX4,Suzuki,2012,1325000,46000,Diesel
208,Renault Duster 110PS,Renault,2012,2505000,35000,Diesel
209,Suzuki Alto,Suzuki,2015,1095000,5000,Petrol
210,Force Motors Force,Force,2015,2900000,3200,Diesel
211,Suzuki SX4,Suzuki,2012,1325000,46000,Diesel
212,Honda City VX,Honda,2016,2595000,52000,Diesel
213,Suzuki Alto,Suzuki,2015,1095000,5000,Petrol
214,Honda City VX,Honda,2016,2595000,52000,Diesel
215,Toyota Etios,Toyota,2011,1375000,36000,Diesel
216,Volkswagen Polo,Volkswagen,2015,1650000,38000,Diesel
217,Honda City ZX,Honda,2008,550000,45000,Petrol
218,Suzuki Wagon,Suzuki,2006,400000,71200,Petrol
219,Honda City VX,Honda,2016,2595000,52000,Diesel
220,Suzuki Wagon,Suzuki,2006,400000,71200,Petrol
221,Mitsubishi Pajero Sport,Mitsubishi,2015,7375000,47000,Diesel
222,Audi A4 1.8,Audi,2009,3495000,47000,Petrol
223,Mercedes Benz GLA,Mercedes,2015,10000000,20000,Diesel
224,Land Rover Freelander,Land,2015,10500000,30000,Diesel
225,Renault Kwid RXT,Renault,2017,1700000,5000,Petrol
226,Honda Amaze,Honda,2013,1424995,46000,Diesel
227,Mercedes Benz B,Mercedes,2014,7000000,31000,Petrol
228,Datsun GO T,Datsun,2016,1225000,7000,Petrol
229,Honda City,Honda,2012,1999995,45000,Petrol
230,Honda City,Honda,2015,2999995,39000,Diesel
231,Honda Jazz VX,Honda,2016,2250000,41000,Petrol
232,Honda Amaze 1.2,Honda,2014,1555000,33000,Petrol
233,Honda Amaze,Honda,2013,1424995,46000,Diesel
234,Honda City,Honda,2012,1999995,45000,Petrol
235,Honda City,Honda,2015,2999995,39000,Diesel
236,Honda Amaze,Honda,2015,1724995,22000,Petrol
237,Audi A4 1.8,Audi,2009,3495000,47000,Petrol
238,Force Motors Force,Force,2015,2900000,3200,Diesel
239,Hyundai i20 Active,Hyundai,2015,2675000,37000,Diesel
240,Hyundai i20 Active,Hyundai,2015,2675000,37000,Diesel
241,Mini Cooper S,Mini,2013,9455555,13000,Petrol
242,Suzuki Ciaz,Suzuki,2017,3495000,14000,Petrol
243,Chevrolet Tavera Neo,Chevrolet,2013,1875000,55000,Diesel
244,Honda Amaze,Honda,2013,1424995,46000,Diesel
245,Hyundai Eon Sportz,Hyundai,2012,890000,30000,Petrol
246,Hyundai i20 Active,Hyundai,2015,2675000,37000,Diesel
247,Suzuki Wagon,Suzuki,2003,450000,45000,Petrol
248,Suzuki Esteem,Suzuki,2006,475000,45000,Petrol
249,Suzuki Eeco,Suzuki,2015,1275000,9300,Petrol
250,Chevrolet Enjoy 1.4,Chevrolet,2013,1225000,55000,Diesel
251,Hyundai i20 Asta,Hyundai,2012,1647500,36200,Diesel
252,Ford Figo Diesel,Ford,2014,975000,50000,Diesel
253,Suzuki Eeco,Suzuki,2015,1255555,55000,Petrol
254,Suzuki Ertiga,Suzuki,2014,2849995,45000,Petrol
255,Suzuki Esteem,Suzuki,2007,349995,51000,Petrol
256,Suzuki Ritz,Suzuki,2014,1499995,19000,Petrol
257,Suzuki Dzire,Suzuki,2009,1100000,46000,Petrol
258,Suzuki Ritz,Suzuki,2013,1999995,33000,Diesel
259,Suzuki SX4,Suzuki,2010,1249995,36000,Petrol
260,Suzuki Wagon,Suzuki,2015,1449995,22000,Petrol
261,Mini Cooper S,Mini,2013,9455555,13500,Petrol
262,Nissan Terrano XL,Nissan,2015,2499995,60000,Diesel
263,Renault Duster 85,Renault,2013,2449995,27000,Diesel
264,Renault Duster 85,Renault,2014,2449995,59000,Diesel
265,Renault Duster 85,Renault,2015,2749995,19000,Diesel
266,Suzuki Dzire,Suzuki,2013,1900000,30000,Petrol
267,Renault Kwid RXT,Renault,2018,1625000,15000,Petrol
268,Suzuki Maruti,Suzuki,2003,285000,56758,Petrol
269,Renault Kwid 1.0,Renault,2018,1749995,10000,Petrol
270,Renault Lodgy 85,Renault,2018,3449995,20000,Diesel
271,Renault Scala RxL,Renault,2014,1749995,49000,Diesel
272,Hyundai Grand i10,Hyundai,2014,2050000,41000,Petrol
273,Suzuki Swift,Suzuki,2011,1125000,45000,Petrol
274,Chevrolet Beat LS,Chevrolet,2010,600000,43000,Petrol
275,Hyundai Fluidic Verna,Hyundai,2015,2700000,38000,Diesel
276,Hyundai Santro Xing,Hyundai,2000,295000,56450,Petrol
277,Hyundai Fluidic Verna,Hyundai,2015,2700000,38000,Diesel
278,Chevrolet Beat LS,Chevrolet,2010,400000,56000,Petrol
279,Hyundai Fluidic Verna,Hyundai,2015,2700000,38000,Diesel
280,Fiat Petra ELX,Fiat,2008,375000,65000,Petrol
281,Chevrolet Beat LS,Chevrolet,2015,1100000,32700,Petrol
282,Skoda Fabia 1.2L,Skoda,2011,797500,38200,Diesel
283,Ford EcoSport Titanium,Ford,2016,2995000,30000,Diesel
284,Hyundai Accent GLX,Hyundai,2006,400000,56000,Petrol
285,Suzuki Swift,Suzuki,2019,3050000,1373,Petrol
286,Mini Cooper S,Mini,2013,9455555,13000,Petrol
287,Mini Cooper S,Mini,2013,9455555,13000,Petrol
288,Chevrolet Tavera Neo,Chevrolet,2013,1875000,55000,Diesel
289,Mini Cooper S,Mini,2013,9455555,13000,Petrol
290,Suzuki Dzire,Suzuki,2012,1499995,40000,Petrol
291,Suzuki Swift,Suzuki,2019,3050000,73,Petrol
292,Suzuki Ertiga,Suzuki,2015,2624995,50000,Diesel
293,Honda Accord,Honda,2009,875000,58559,Petrol
294,Suzuki Dzire,Suzuki,2012,1499995,40000,Petrol
295,Chevrolet Tavera Neo,Chevrolet,2013,1875000,55000,Diesel
296,Ford EcoSport Titanium,Ford,2014,2600000,57000,Diesel
297,Suzuki Ertiga,Suzuki,2015,2624995,50000,Diesel
298,Honda Amaze,Honda,2014,1499995,37000,Petrol
299,Suzuki Dzire,Suzuki,2012,1499995,40000,Petrol
300,Honda City,Honda,2011,1424995,55000,Petrol
301,Toyota Corolla Altis,Toyota,2009,999995,65000,Petrol
302,Suzuki Dzire,Suzuki,2014,2124995,55000,Diesel
303,Honda City,Honda,2015,3224995,39000,Petrol
304,Honda Mobilio,Honda,2014,1999995,44000,Petrol
305,Toyota Corolla Altis,Toyota,2009,999995,65000,Petrol
306,Honda City,Honda,2014,2924995,39000,Petrol
307,Skoda Laura,Skoda,2012,1749995,44000,Diesel
308,Renault Duster,Renault,2015,2249995,49000,Diesel
309,Suzuki Ertiga,Suzuki,2018,3999995,9000,Diesel
310,Suzuki Dzire,Suzuki,2015,2224995,45000,Diesel
311,Honda Amaze,Honda,2014,1374995,35000,Petrol
312,Hyundai Verna Fluidic,Hyundai,2012,2224995,40000,Diesel
313,Suzuki Vitara,Suzuki,2016,3449995,29000,Diesel
314,Suzuki Wagon,Suzuki,2016,1724995,15000,Petrol
315,Suzuki Vitara,Suzuki,2016,3449995,29000,Diesel
316,Honda Amaze,Honda,2014,1374995,35000,Petrol
317,Renault Duster 110,Renault,2012,2505000,38000,Diesel
318,Hyundai Verna Fluidic,Hyundai,2013,2005000,45000,Diesel
319,Skoda Laura,Skoda,2013,1874995,50000,Diesel
320,Volkswagen Polo,Volkswagen,2010,999995,60000,Diesel
321,Hyundai Elite i20,Hyundai,2016,2749995,9000,Petrol
322,Hyundai Elite i20,Hyundai,2016,2749995,9000,Petrol
323,Chevrolet Sail UVA,Chevrolet,2013,1050000,60000,Petrol
324,Renault Duster 110,Renault,2012,2505000,38000,Diesel
325,Hyundai Verna Fluidic,Hyundai,2013,2005000,45000,Diesel
326,Audi A4 2.0,Audi,2012,6750000,40000,Diesel
327,Hyundai Elantra SX,Hyundai,2013,3000000,20000,Petrol
328,Suzuki Swift,Suzuki,2013,1624995,45000,Diesel
329,Toyota Fortuner,Toyota,2011,5374995,52000,Diesel
330,Renault Scala RxL,Renault,2015,1875000,25000,Diesel
331,Toyota Etios Liva,Toyota,2011,1199995,41000,Petrol
332,Hyundai Grand i10,Hyundai,2014,1825000,20000,Petrol
333,Hyundai i20 Active,Hyundai,2015,2500000,18000,Petrol
334,Toyota Etios Liva,Toyota,2011,1199995,41000,Petrol
335,Hyundai Grand i10,Hyundai,2017,2624995,6821,Petrol
336,Hyundai i20,Hyundai,2014,2249995,23000,Petrol
337,Hyundai Eon,Hyundai,2014,874995,14000,Petrol
338,Hyundai i10,Hyundai,2012,1224995,38000,Petrol
339,Hyundai i20 Active,Hyundai,2015,2874995,35000,Diesel
340,Datsun Redi GO,Datsun,2017,1224995,22000,Petrol
341,Toyota Etios Liva,Toyota,2011,1199995,41000,Petrol
342,Hyundai Accent,Hyundai,2010,499995,45000,Petrol
343,Hyundai Verna,Hyundai,2014,2449995,44000,Diesel
344,Suzuki Swift,Suzuki,2013,1624995,45000,Diesel
345,Toyota Fortuner,Toyota,2011,5374995,52000,Diesel
346,Hyundai i10 Sportz,Hyundai,2012,1150000,34000,Petrol
347,Honda City 1.5,Honda,2010,1200000,400000,Petrol
348,Chevrolet Spark LT,Chevrolet,2009,550000,44000,Petrol
349,Honda City 1.5,Honda,2010,1200000,400000,Petrol
350,Chevrolet Spark LT,Chevrolet,2009,550000,44000,Petrol
351,Skoda Rapid Elegance,Skoda,2013,1700000,48000,Diesel
352,Renault Duster 110PS,Renault,2012,2505000,35000,Diesel
353,Suzuki Alto,Suzuki,2015,1325000,12000,Petrol
354,Suzuki SX4,Suzuki,2012,1325000,46000,Diesel
355,Suzuki Zen,Suzuki,2003,425000,69900,Petrol
356,Force Motors Force,Force,2015,2900000,3200,Diesel
357,Skoda Rapid Elegance,Skoda,2013,1700000,48000,Diesel
358,Suzuki Alto,Suzuki,2015,1095000,5000,Petrol
359,Suzuki Alto,Suzuki,2015,1325000,12000,Petrol
360,Suzuki SX4,Suzuki,2012,1325000,46000,Diesel
361,Suzuki Zen,Suzuki,2003,425000,69900,Petrol
362,Suzuki Alto,Suzuki,2015,1095000,5000,Petrol
363,Hyundai i10 Magna,Hyundai,2011,875000,45000,Petrol
364,Suzuki Alto,Suzuki,2015,1095000,5000,Petrol
365,Suzuki Swift,Suzuki,2016,1750000,166000,Diesel
366,Honda City ZX,Honda,2008,745000,42000,Petrol
367,Hyundai Verna 1.4,Hyundai,2014,1875000,36000,Petrol
368,Toyota Innova 2.5,Toyota,2012,3850000,0,Diesel
369,Chevrolet Beat Diesel,Chevrolet,2017,750000,62000,Diesel
370,Honda City 1.5,Honda,2010,1125000,70000,Petrol
371,Hyundai Verna 1.4,Hyundai,2014,1875000,36000,Petrol
372,Toyota Innova 2.5,Toyota,2012,3850000,0,Diesel
373,Suzuki Maruti,Suzuki,1995,150000,55000,Petrol
374,Toyota Etios,Toyota,2011,1375000,36000,Diesel
375,Volkswagen Polo,Volkswagen,2015,1650000,38000,Diesel
376,Suzuki Swift,Suzuki,2014,1675000,55000,Diesel
377,Hyundai Elite i20,Hyundai,2015,2250000,20000,Diesel
378, Suzuki Swift,Suzuki,2012,1125000,40000,Petrol
379,Suzuki Versa,Suzuki,2004,400000,50000,Petrol
380,Honda City,Honda,2000,325000,80000,Petrol
381,Volkswagen Vento Konekt,Volkswagen,2011,1225000,65000,Diesel
382,Mercedes Benz C,Mercedes,2002,1995000,41000,Petrol
383,Suzuki Ertiga,Suzuki,2013,2250000,90000,Diesel
384,Honda City,Honda,2000,325000,80000,Petrol
385,Hyundai Santro Xing,Hyundai,2006,375000,46000,Petrol
386,Suzuki Omni,Suzuki,2001,350000,70000,Petrol
387,Hyundai Sonata Transform,Hyundai,2017,950000,36469,Diesel
388,Hyundai Elite i20,Hyundai,2018,3000000,7800,Petrol
389,Volkswagen Vento Konekt,Volkswagen,2011,1225000,65000,Diesel
390,Suzuki Alto,Suzuki,2017,1200000,60000,Petrol
391,Suzuki Alto,Suzuki,2011,775000,32000,Petrol
392,Honda Jazz S,Honda,2009,849995,24695,Petrol
393,Hyundai Grand i10,Hyundai,2017,2250000,15141,Petrol
394,Suzuki Zen,Suzuki,2001,200000,40000,Petrol
395,Suzuki Swift,Suzuki,2015,1100000,129000,Diesel
396,Suzuki Alto,Suzuki,2014,1350000,22000,Petrol
397,Hyundai Grand i10,Hyundai,2016,1400000,59910,Diesel
398,Suzuki Swift,Suzuki,2015,1100000,129000,Diesel
399,Hyundai Creta 1.6,Hyundai,2016,4750000,25000,Petrol
400,Hyundai i20 Magna,Hyundai,2013,1550000,35000,Petrol
401,Renault Duster 85,Renault,2015,3575000,65000,Diesel
402,Hyundai Grand i10,Hyundai,2014,1700000,35000,Petrol
403,Honda Brio V,Honda,2012,1175000,33000,Petrol
404,Suzuki Swift,Suzuki,2015,1100000,129000,Diesel
405,Chevrolet Spark LS,Chevrolet,2010,475000,23000,Petrol
406,Suzuki Swift,Suzuki,2015,1100000,129000,Diesel
407,Suzuki Swift,Suzuki,2015,1100000,129000,Diesel
408,Nissan X Trail,Nissan,2019,6000000,300,Diesel
409,Suzuki Alto,Suzuki,2015,1150000,5000,Petrol
410,Ford Ikon 1.3,Ford,2001,225000,65000,Petrol
411,Toyota Fortuner 3.0,Toyota,2010,4700000,131000,Diesel
412,Hyundai i20 Magna,Hyundai,2010,975000,36000,Petrol
413,Mercedes Benz A,Mercedes,2013,7500000,14000,Petrol
414,Chevrolet Beat LS,Chevrolet,2016,1050000,22000,Diesel
415,Ford EcoSport Trend,Ford,2013,2475000,38000,Diesel
416,Honda Amaze 1.5,Honda,2016,1200000,160000,Diesel
417,Hyundai i20 Magna,Hyundai,2010,975000,36000,Petrol
418,Volkswagen Vento Highline,Volkswagen,2015,2750000,34000,Diesel
419,Renault Kwid RXT,Renault,2015,1350000,43000,Petrol
420,Ford EcoSport Titanium,Ford,2014,2500000,40000,Diesel
421,Honda Amaze 1.5,Honda,2016,1200000,160000,Diesel
422,Hyundai Verna 1.6,Hyundai,2017,4000000,12000,Petrol
423,BMW 5 Series,BMW,2011,6495000,49000,Diesel
424,Skoda Superb 1.8,Skoda,2011,2650000,68000,Petrol
425,Audi Q3 2.0,Audi,2013,7495000,37000,Diesel
426,Honda City SV,Honda,2017,3800000,4000,Petrol
427,Suzuki Baleno,Suzuki,2016,2500000,28000,Petrol
428,Ford Figo Duratorq,Ford,2012,1250000,99000,Diesel
429,Suzuki Wagon,Suzuki,2018,1975000,25500,Petrol
430,Honda City SV,Honda,2017,3800000,4000,Petrol
431,Suzuki Baleno,Suzuki,2016,2500000,28000,Petrol
432,Ford Figo Duratorq,Ford,2012,1250000,99000,Diesel
